epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1702.85,1.05195,0.60714,0.90716,0.96444,0.94843,0.98166,0.67851,1.09474,0.54225,0.93573,0.0005941,0.0005941,0.0005941
43,1740.1,1.04734,0.60198,0.90765,0.95629,0.93461,0.98184,0.65645,1.17097,0.53654,0.94377,0.0005842,0.0005842,0.0005842
44,1777.38,1.0622,0.60614,0.908,0.97412,0.92848,0.98232,0.69987,1.06294,0.51326,0.92299,0.0005743,0.0005743,0.0005743
45,1814.58,1.05545,0.59347,0.90455,0.96337,0.93236,0.97785,0.66934,1.133,0.53539,0.93637,0.0005644,0.0005644,0.0005644
46,1851.57,1.07404,0.6078,0.90748,0.9663,0.93113,0.97734,0.6993,1.03361,0.50938,0.92114,0.0005545,0.0005545,0.0005545
47,1888.64,1.01148,0.5757,0.89935,0.95954,0.94413,0.98066,0.62436,1.29246,0.54903,0.9737,0.0005446,0.0005446,0.0005446
48,1925.66,1.0286,0.58567,0.90113,0.96202,0.94799,0.98088,0.68941,1.08328,0.51739,0.92959,0.0005347,0.0005347,0.0005347
49,1962.76,1.04428,0.58932,0.90375,0.96111,0.93774,0.97518,0.65352,1.16872,0.54208,0.94681,0.0005248,0.0005248,0.0005248
50,1999.74,1.02553,0.58769,0.9048,0.96951,0.94916,0.98641,0.73145,0.96971,0.46925,0.90763,0.0005149,0.0005149,0.0005149
51,2036.92,1.04616,0.58001,0.90208,0.97233,0.9479,0.98605,0.73386,0.96526,0.4717,0.91061,0.000505,0.000505,0.000505
52,2074.04,1.05379,0.5867,0.9042,0.95799,0.93196,0.98158,0.64367,1.20311,0.54795,0.95001,0.0004951,0.0004951,0.0004951
53,2111.05,1.01916,0.56725,0.90064,0.95919,0.94513,0.98177,0.64626,1.22216,0.52319,0.95649,0.0004852,0.0004852,0.0004852
54,2148.02,1.02499,0.57341,0.901,0.9695,0.94239,0.97942,0.62862,1.27293,0.52998,0.96796,0.0004753,0.0004753,0.0004753
55,2185.13,1.02007,0.56384,0.8997,0.96328,0.94297,0.98147,0.71903,0.99279,0.48284,0.91328,0.0004654,0.0004654,0.0004654
56,2222.22,1.00513,0.5693,0.8963,0.96645,0.94878,0.98672,0.74375,0.92893,0.46215,0.90264,0.0004555,0.0004555,0.0004555
57,2259.25,1.00827,0.55562,0.89186,0.96745,0.95002,0.98685,0.73047,0.95277,0.46781,0.9055,0.0004456,0.0004456,0.0004456
58,2296.29,0.99056,0.55382,0.89356,0.97716,0.93557,0.98576,0.73167,0.9604,0.4654,0.9091,0.0004357,0.0004357,0.0004357
59,2333.36,0.98434,0.55489,0.89003,0.96676,0.94609,0.98364,0.73214,0.94253,0.47171,0.90678,0.0004258,0.0004258,0.0004258
60,2370.4,0.9819,0.55517,0.89248,0.96152,0.953,0.98577,0.73445,0.96158,0.46907,0.90734,0.0004159,0.0004159,0.0004159
61,2407.63,0.99761,0.55921,0.89853,0.96188,0.95082,0.98505,0.69552,1.06535,0.48429,0.923,0.000406,0.000406,0.000406
62,2444.69,0.98059,0.54877,0.89107,0.97262,0.95561,0.98598,0.7395,0.95556,0.45324,0.90872,0.0003961,0.0003961,0.0003961
63,2481.73,0.98498,0.54454,0.89028,0.95448,0.95086,0.98173,0.72288,0.9761,0.46769,0.9118,0.0003862,0.0003862,0.0003862
64,2518.76,1.01021,0.54897,0.89636,0.97501,0.94014,0.98494,0.7188,1.00077,0.46777,0.91425,0.0003763,0.0003763,0.0003763
65,2555.88,1.00282,0.53601,0.89242,0.96633,0.95139,0.98503,0.6741,1.15949,0.4961,0.94165,0.0003664,0.0003664,0.0003664
66,2593.01,0.99373,0.53631,0.89006,0.97597,0.94565,0.98737,0.71626,1.01052,0.46231,0.91789,0.0003565,0.0003565,0.0003565
67,2630.08,0.97378,0.53712,0.88823,0.94971,0.96203,0.98167,0.69734,1.08003,0.48297,0.9287,0.0003466,0.0003466,0.0003466
68,2667.19,0.95877,0.52558,0.88997,0.96157,0.94935,0.98544,0.7173,1.01062,0.47343,0.91752,0.0003367,0.0003367,0.0003367
69,2704.24,0.95808,0.5268,0.8902,0.965,0.95235,0.98577,0.73756,0.94045,0.44925,0.90737,0.0003268,0.0003268,0.0003268
70,2741.25,0.96047,0.53088,0.88589,0.95418,0.96489,0.98871,0.71213,1.04686,0.46968,0.9206,0.0003169,0.0003169,0.0003169
71,2778.55,0.96257,0.52265,0.88907,0.96578,0.96479,0.98661,0.66978,1.148,0.49007,0.93751,0.000307,0.000307,0.000307
72,2815.63,0.97236,0.52323,0.88694,0.96477,0.96177,0.98802,0.71477,1.02128,0.45552,0.91836,0.0002971,0.0002971,0.0002971
73,2852.6,0.95078,0.52226,0.88649,0.97471,0.95607,0.98775,0.73515,0.96172,0.43858,0.90873,0.0002872,0.0002872,0.0002872
74,2889.73,0.96029,0.51946,0.89026,0.96545,0.96249,0.98562,0.73516,0.97156,0.44785,0.90992,0.0002773,0.0002773,0.0002773
75,2926.8,0.94792,0.51097,0.88518,0.96386,0.96568,0.98826,0.73978,0.95382,0.43835,0.9049,0.0002674,0.0002674,0.0002674
76,2963.84,0.95028,0.51302,0.88653,0.96349,0.95991,0.9877,0.72809,0.98554,0.44867,0.9112,0.0002575,0.0002575,0.0002575
77,3000.91,0.94247,0.50756,0.88493,0.9834,0.94878,0.98766,0.72107,1.00127,0.44504,0.91231,0.0002476,0.0002476,0.0002476
78,3037.93,0.95713,0.50317,0.88565,0.97107,0.9568,0.98737,0.70085,1.09118,0.45878,0.92657,0.0002377,0.0002377,0.0002377
79,3074.98,0.93587,0.49729,0.88436,0.9768,0.95978,0.9888,0.73695,0.94557,0.43085,0.9066,0.0002278,0.0002278,0.0002278
80,3112.09,0.92872,0.49675,0.88274,0.97143,0.95817,0.98931,0.72897,0.99946,0.44272,0.91169,0.0002179,0.0002179,0.0002179
81,3149.39,0.95232,0.50553,0.88484,0.96224,0.94894,0.98686,0.73713,0.9614,0.44279,0.90793,0.000208,0.000208,0.000208
82,3186.44,0.94147,0.50061,0.88588,0.96417,0.95795,0.98835,0.75142,0.91608,0.43259,0.90059,0.0001981,0.0001981,0.0001981
83,3223.53,0.92362,0.49169,0.88051,0.96249,0.96837,0.98809,0.73863,0.97346,0.4294,0.90997,0.0001882,0.0001882,0.0001882
84,3261.03,0.91309,0.48587,0.87625,0.96992,0.9602,0.98712,0.70159,1.0831,0.46048,0.92777,0.0001783,0.0001783,0.0001783
85,3298.12,0.91523,0.48506,0.87777,0.9689,0.96564,0.988,0.74567,0.94295,0.42704,0.90445,0.0001684,0.0001684,0.0001684
86,3335.19,0.91035,0.48916,0.87298,0.96763,0.96574,0.98836,0.74982,0.92088,0.42073,0.90159,0.0001585,0.0001585,0.0001585
87,3372.26,0.91916,0.48871,0.87748,0.98244,0.94578,0.98845,0.7527,0.91728,0.42019,0.90151,0.0001486,0.0001486,0.0001486
88,3409.36,0.91062,0.49028,0.88287,0.96405,0.96949,0.98852,0.74887,0.92365,0.4204,0.90009,0.0001387,0.0001387,0.0001387
89,3446.42,0.89741,0.48143,0.87735,0.96938,0.96193,0.98906,0.73779,0.95769,0.42648,0.90929,0.0001288,0.0001288,0.0001288
90,3483.49,0.90186,0.48055,0.87721,0.97217,0.9656,0.9897,0.74672,0.93631,0.42217,0.90534,0.0001189,0.0001189,0.0001189
91,3539.44,0.89159,0.43949,0.88638,0.96739,0.9625,0.98549,0.72103,1.00268,0.44079,0.9107,0.000109,0.000109,0.000109
92,3576.31,0.8893,0.42687,0.88415,0.96938,0.95939,0.98607,0.75684,0.89313,0.41983,0.8959,9.91e-05,9.91e-05,9.91e-05
93,3613.02,0.85851,0.42199,0.87918,0.96343,0.97279,0.98727,0.74773,0.91948,0.4224,0.90191,8.92e-05,8.92e-05,8.92e-05
94,3649.75,0.83898,0.41456,0.87612,0.97079,0.96299,0.98703,0.75621,0.8992,0.41673,0.89693,7.93e-05,7.93e-05,7.93e-05
95,3686.59,0.8355,0.41084,0.8762,0.96728,0.96936,0.98873,0.75577,0.9013,0.41532,0.89963,6.94e-05,6.94e-05,6.94e-05
96,3723.41,0.83752,0.41292,0.87742,0.97179,0.96156,0.9881,0.75395,0.91594,0.41641,0.90148,5.95e-05,5.95e-05,5.95e-05
97,3760.19,0.84153,0.40641,0.88169,0.97002,0.96529,0.98865,0.75975,0.89461,0.41109,0.89718,4.96e-05,4.96e-05,4.96e-05
98,3797.02,0.83224,0.40791,0.87588,0.96641,0.96855,0.98803,0.75736,0.8934,0.41097,0.89752,3.97e-05,3.97e-05,3.97e-05
99,3833.87,0.82413,0.40478,0.86951,0.97023,0.96725,0.98829,0.75689,0.90656,0.41173,0.90053,2.98e-05,2.98e-05,2.98e-05
100,3870.74,0.83183,0.40413,0.8759,0.97233,0.9669,0.9882,0.75425,0.91626,0.41325,0.90173,1.99e-05,1.99e-05,1.99e-05
